Datacode,Rectype,RecYear,RecMonth,RecDay,Watershed,SoilType,Transect,Pid,Plot,SpeCode,Ab_genus,Ab_species,CoverClass,Comments
PBG01,1,2008,6,2,C01A,f,a,8,1,12,koeler,macra,2,
PBG01,1,2008,6,2,C01A,f,a,8,1,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,a,8,1,17,poa,prate,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,31,carex,brevi,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,33,carex,inops,3,
PBG01,1,2008,6,2,C01A,f,a,8,1,34,carex,meadi,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,36,cyperu,lupul,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,44,achill,mille,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,49,antenn,negle,2,
PBG01,1,2008,6,2,C01A,f,a,8,1,56,asclep,virds,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,66,baptis,bract,2,
PBG01,1,2008,6,2,C01A,f,a,8,1,70,cirsiu,undul,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,77,eriger,strig,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,83,hierac,longi,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,106,dalea,candi,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,109,dalea,purpu,2,
PBG01,1,2008,6,2,C01A,f,a,8,1,118,ratibi,colum,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,120,ruelli,humil,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,123,packer,platt,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,125,sisyri,campe,1,
PBG01,1,2008,6,2,C01A,f,a,8,1,154,comand,umbel,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,2,androp,gerar,5,
PBG01,1,2008,9,3,C01A,f,a,8,1,3,schiza,scopa,3,
PBG01,1,2008,9,3,C01A,f,a,8,1,4,boutel,curti,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,11,eragro,spect,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,15,panicu,virga,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,18,sorgha,nutan,2,
PBG01,1,2008,9,3,C01A,f,a,8,1,21,sporob,compo,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,40,amorph,canes,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,46,ambros,psilo,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,58,symphy,erico,3,
PBG01,1,2008,9,3,C01A,f,a,8,1,59,symphy,oblon,3,
PBG01,1,2008,9,3,C01A,f,a,8,1,86,bricke,eupat,1,
PBG01,1,2008,9,3,C01A,f,a,8,1,121,salvia,azure,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,12,koeler,macra,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,14,dichan,oligo,3,
PBG01,1,2008,6,2,C01A,f,a,8,2,16,dichan,ovale,1,
PBG01,1,2008,6,2,C01A,f,a,8,2,17,poa,prate,2,
